formula_pretty,material_id,prek,preg
ErBO3,mp-1194043,127.3968273,58.03632408
Ca2LaTaO6,mp-1227477,126.6850726,63.46485467
Ba2Ta2O7,mp-770239,126.2664147,61.40601908
Y2Si2O7,mp-581644,125.1150655,61.81883549
Sr2SmTaO6,mp-1208761,121.9336211,59.84303356
Nd2Ta2Cl2O7,mp-559243,121.8322677,67.33484929
BaLi2Ti6O14,mp-558083,118.6303722,52.50015719
TmTiClO3,mp-1207686,117.6317581,51.46403182
TbBO3,mp-1217607,116.7620043,57.68633678
DyTiClO3,mp-556108,116.0269026,51.05926526
TbSc3(BO3)4,mp-1217508,115.7518259,65.98709596
Ba3LiTa3Ti5O21,mp-677212,115.4451852,58.46340482
ErTiClO3,mp-1212930,115.1114051,53.34950778
Ho2Be2SiO7,mp-7013,114.9732909,59.71156949
PrSc3(BO3)4,mp-18677,114.800156,62.56758733
Er2Be2SiO7,mp-1212878,114.6568083,58.75906778
LaSc3(BO3)4,mp-6217,114.0306737,62.46960407
Ba3CaTa2O9,mp-1228141,113.7189252,55.60418539
LiLuO2,mp-754605,113.0301801,62.9407391
Mg5Ta(BO4)3,mp-1196921,112.766963,54.07953014
Tm2Be2SiO7,mp-1207992,112.45702,58.76870845
La4GdSc15(BO3)20,mp-1223571,111.9628823,59.52918277
Ba3Ta6(Si2O13)2,mp-6169,111.4812013,52.78633988
Li2HfO3,mp-2724101,109.7462741,52.28727924
NaLa2TaO6,mp-13019,108.3425753,60.10275693
NaLuSiO4,mp-1210117,107.4815531,51.93571024
BaSc2Si3O10,mp-1194834,105.0542999,53.22237636
BaLu2Si3O10,mp-1194557,104.8402324,52.55377316
Na2ScIn(SiO3)4,mp-1221317,103.1401794,55.69820385
